Game_ID,Season_ID,shot_id,Team_ID,Player_ID,Position_Group,Position,Game_Date,Home_Team,Away_Team,Event_Type,Shot_Made,Action_Type,Shot_Type,Basic_Zone,Zone_Name,Zone_Abb,Zone_Range,Loc_X,Loc_Y,Shot_Distance,Quarter,Mins_Left,Secs_Left
20801219,63,85,17,3665,G,PG,2009-04-15,CLE,PHI,"Missed Shot",0,"Jump Shot","3PT Field Goal","Left Corner 3","Left Side",L,"24+ ft.",23.70,7.55,23.00,3,10,16
20801223,63,86,43,3662,G,PG,2009-04-15,MIA,DET,"Made Shot",1,"Jump Bank Shot","3PT Field Goal","Above the Break 3","Right Side Center",RC,"24+ ft.",-20.90,42.15,42.00,2,0,0
20801227,63,87,53,3416,F,SF,2009-04-15,SAS,NOH,"Missed Shot",0,"Jump Shot","2PT Field Goal",Mid-Range,"Left Side",L,"16-24 ft.",16.90,15.15,19.00,3,10,15
20801222,63,88,3,3843,F,PF,2009-04-15,MEM,ATL,"Missed Shot",0,"Layup Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.00,5.25,0.00,3,9,52
20801220,63,89,28,3774,F,PF,2009-04-15,DAL,HOU,"Missed Shot",0,"Jump Shot","2PT Field Goal",Mid-Range,"Left Side",L,"8-16 ft.",15.30,6.75,15.00,3,11,3
20801230,63,90,68,3583,F,PF,2009-04-15,POR,DEN,"Made Shot",1,"Driving Layup Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.00,5.25,0.00,2,0,27
20801218,63,91,12,3812,G,PG,2009-04-15,CHI,TOR,"Missed Shot",0,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)",Center,C,"8-16 ft.",-2.30,15.95,10.00,2,2,9
20801219,63,92,62,3500,F,SF,2009-04-15,CLE,PHI,"Missed Shot",0,"Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)",Center,C,"8-16 ft.",-4.50,13.85,9.00,3,10,7
20801220,63,93,28,3428,C,C,2009-04-15,DAL,HOU,"Missed Shot",0,"Hook Shot","2PT Field Goal","In The Paint (Non-RA)",Center,C,"Less Than 8 ft.",-5.80,8.95,6.00,3,10,58
20801222,63,94,38,3713,F,SF,2009-04-15,MEM,ATL,"Made Shot",1,"Alley Oop Dunk Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.00,5.25,0.00,3,9,46
20801224,63,95,49,3830,C,C,2009-04-15,MIN,SAC,"Missed Shot",0,"Fadeaway Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side",R,"8-16 ft.",-5.80,11.35,8.00,2,0,46
20801219,63,96,17,3001,C,C,2009-04-15,CLE,PHI,"Missed Shot",0,"Layup Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.00,6.45,1.00,3,9,56
20801221,63,97,44,3306,G,SG,2009-04-15,IND,MIL,"Made Shot",1,"Jump Shot","2PT Field Goal",Mid-Range,"Left Side",L,"16-24 ft.",15.30,16.05,18.00,2,2,6
20801228,63,98,60,3549,C,C,2009-04-15,LAC,OKC,"Missed Shot",0,"Jump Shot","2PT Field Goal",Mid-Range,"Left Side Center",LC,"16-24 ft.",8.90,22.55,19.00,3,11,41
20801220,63,99,20,3454,F,SF,2009-04-15,DAL,HOU,"Missed Shot",0,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side",L,"8-16 ft.",6.40,13.55,10.00,3,10,47
20801227,63,100,53,3442,F,PF,2009-04-15,SAS,NOH,"Missed Shot",0,"Jump Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.00,8.35,3.00,3,9,31
