Game_ID,Season_ID,Team_ID,Player_ID,Position_Group,Position,Game_Date,Home_Team,Away_Team,Event_Type,Shot_Made,Action_Type,Shot_Type,Basic_Zone,Zone_Name,Zone_Abb,Zone_Range,Loc_X,Loc_Y,Shot_Distance,Quarter,Mins_Left,Secs_Left
20801225,2000,51,3803,G,SG,2009-04-15,NYK,NJN,Missed Shot,0,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,4.0,14.85,10.0,2,3,57
20801222,2000,38,3779,G,PG,2009-04-15,MEM,ATL,Made Shot,1,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,1,9
20801229,2000,64,3817,G,PG,2009-04-15,PHX,GSW,Made Shot,1,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.9,19.05,25.0,2,6,19
20801230,2000,68,3658,G,SG,2009-04-15,POR,DEN,Made Shot,1,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,6.95,1.0,2,2,37
20801218,2000,87,3436,C,C,2009-04-15,CHI,TOR,Missed Shot,0,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,4,10
20801223,2000,24,3737,G,SG,2009-04-15,MIA,DET,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.2,18.75,18.0,2,2,25
20801229,2000,26,3844,F,PF,2009-04-15,PHX,GSW,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.1,20.85,19.0,2,5,59
20801218,2000,12,3812,G,PG,2009-04-15,CHI,TOR,Missed Shot,0,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-4.5,13.45,9.0,2,3,52
20801228,2000,35,3383,F,SF,2009-04-15,LAC,OKC,Made Shot,1,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,2,15
20801222,2000,38,3713,F,SF,2009-04-15,MEM,ATL,Made Shot,1,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,0,42
20801225,2000,57,3628,G,PG,2009-04-15,NYK,NJN,Made Shot,1,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.5,13.45,14.0,2,3,40
